TV,Radio,Newspaper,Sales
230.100000,37.800000,69.200000,22.100000
44.500000,39.300000,45.100000,10.400000
17.200000,45.900000,69.300000,9.300000
151.500000,41.300000,58.500000,18.500000
180.800000,10.800000,58.400000,12.900000
8.700000,48.900000,75.000000,7.200000
57.500000,32.800000,23.500000,11.800000
120.200000,19.600000,11.600000,13.200000
8.600000,2.100000,1.000000,4.800000
199.800000,2.600000,21.200000,10.600000
66.100000,5.800000,24.200000,8.600000
214.700000,24.000000,4.000000,17.400000
23.800000,35.100000,65.900000,9.200000
97.500000,7.600000,7.200000,9.700000
204.100000,32.900000,46.000000,19.000000
195.400000,47.700000,52.900000,22.400000
67.800000,36.600000,114.000000,12.500000
281.400000,39.600000,55.800000,24.400000
69.200000,20.500000,18.300000,11.300000
147.300000,23.900000,19.100000,14.600000
218.400000,27.700000,53.400000,18.000000
237.400000,5.100000,23.500000,12.500000
13.200000,15.900000,49.600000,5.600000
228.300000,16.900000,26.200000,15.500000
62.300000,12.600000,18.300000,9.700000
262.900000,3.500000,19.500000,12.000000
142.900000,29.300000,12.600000,15.000000
240.100000,16.700000,22.900000,15.900000
248.800000,27.100000,22.900000,18.900000
70.600000,16.000000,40.800000,10.500000
292.900000,28.300000,43.200000,21.400000
112.900000,17.400000,38.600000,11.900000
97.200000,1.500000,30.000000,9.600000
265.600000,20.000000,0.300000,17.400000
95.700000,1.400000,7.400000,9.500000
290.700000,4.100000,8.500000,12.800000
266.900000,43.800000,5.000000,25.400000
74.700000,49.400000,45.700000,14.700000
43.100000,26.700000,35.100000,10.100000
228.000000,37.700000,32.000000,21.500000
202.500000,22.300000,31.600000,16.600000
177.000000,33.400000,38.700000,17.100000
293.600000,27.700000,1.800000,20.700000
206.900000,8.400000,26.400000,12.900000
25.100000,25.700000,43.300000,8.500000
175.100000,22.500000,31.500000,14.900000
89.700000,9.900000,35.700000,10.600000
239.900000,41.500000,18.500000,23.200000
227.200000,15.800000,49.900000,14.800000
66.900000,11.700000,36.800000,9.700000
199.800000,3.100000,34.600000,11.400000
100.400000,9.600000,3.600000,10.700000
216.400000,41.700000,39.600000,22.600000
182.600000,46.200000,58.700000,21.200000
262.700000,28.800000,15.900000,20.200000
198.900000,49.400000,60.000000,23.700000
7.300000,28.100000,41.400000,5.500000
136.200000,19.200000,16.600000,13.200000
210.800000,49.600000,37.700000,23.800000
210.700000,29.500000,9.300000,18.400000
53.500000,2.000000,21.400000,8.100000
261.300000,42.700000,54.700000,24.200000
239.300000,15.500000,27.300000,15.700000
102.700000,29.600000,8.400000,14.000000
131.100000,42.800000,28.900000,18.000000
69.000000,9.300000,0.900000,9.300000
31.500000,24.600000,2.200000,9.500000
139.300000,14.500000,10.200000,13.400000
237.400000,27.500000,11.000000,18.900000
216.800000,43.900000,27.200000,22.300000
199.100000,30.600000,38.700000,18.300000
109.800000,14.300000,31.700000,12.400000
26.800000,33.000000,19.300000,8.800000
129.400000,5.700000,31.300000,11.000000
213.400000,24.600000,13.100000,17.000000
16.900000,43.700000,89.400000,8.700000
27.500000,1.600000,20.700000,6.900000
120.500000,28.500000,14.200000,14.200000
5.400000,29.900000,9.400000,5.300000
116.000000,7.700000,23.100000,11.000000
76.400000,26.700000,22.300000,11.800000
239.800000,4.100000,36.900000,12.300000
75.300000,20.300000,32.500000,11.300000
68.400000,44.500000,35.600000,13.600000
213.500000,43.000000,33.800000,21.700000
193.200000,18.400000,65.700000,15.200000
76.300000,27.500000,16.000000,12.000000
110.700000,40.600000,63.200000,16.000000
88.300000,25.500000,73.400000,12.900000
109.800000,47.800000,51.400000,16.700000
134.300000,4.900000,9.300000,11.200000
28.600000,1.500000,33.000000,7.300000
217.700000,33.500000,59.000000,19.400000
250.900000,36.500000,72.300000,22.200000
107.400000,14.000000,10.900000,11.500000
163.300000,31.600000,52.900000,16.900000
197.600000,3.500000,5.900000,11.700000
184.900000,21.000000,22.000000,15.500000
289.700000,42.300000,51.200000,25.400000
135.200000,41.700000,45.900000,17.200000
222.400000,4.300000,49.800000,11.700000
296.400000,36.300000,100.900000,23.800000
280.200000,10.100000,21.400000,14.800000
187.900000,17.200000,17.900000,14.700000
238.200000,34.300000,5.300000,20.700000
137.900000,46.400000,59.000000,19.200000
25.000000,11.000000,29.700000,7.200000
90.400000,0.300000,23.200000,8.700000
13.100000,0.400000,25.600000,5.300000
255.400000,26.900000,5.500000,19.800000
225.800000,8.200000,56.500000,13.400000
241.700000,38.000000,23.200000,21.800000
175.700000,15.400000,2.400000,14.100000
209.600000,20.600000,10.700000,15.900000
78.200000,46.800000,34.500000,14.600000
75.100000,35.000000,52.700000,12.600000
139.200000,14.300000,25.600000,12.200000
76.400000,0.800000,14.800000,9.400000
125.700000,36.900000,79.200000,15.900000
19.400000,16.000000,22.300000,6.600000
141.300000,26.800000,46.200000,15.500000
18.800000,21.700000,50.400000,7.000000
224.000000,2.400000,15.600000,11.600000
123.100000,34.600000,12.400000,15.200000
229.500000,32.300000,74.200000,19.700000
87.200000,11.800000,25.900000,10.600000
7.800000,38.900000,50.600000,6.600000
80.200000,0.000000,9.200000,8.800000
220.300000,49.000000,3.200000,24.700000
59.600000,12.000000,43.100000,9.700000
0.700000,39.600000,8.700000,1.600000
265.200000,2.900000,43.000000,12.700000
8.400000,27.200000,2.100000,5.700000
219.800000,33.500000,45.100000,19.600000
36.900000,38.600000,65.600000,10.800000
48.300000,47.000000,8.500000,11.600000
25.600000,39.000000,9.300000,9.500000
273.700000,28.900000,59.700000,20.800000
43.000000,25.900000,20.500000,9.600000
184.900000,43.900000,1.700000,20.700000
73.400000,17.000000,12.900000,10.900000
193.700000,35.400000,75.600000,19.200000
220.500000,33.200000,37.900000,20.100000
104.600000,5.700000,34.400000,10.400000
96.200000,14.800000,38.900000,11.400000
140.300000,1.900000,9.000000,10.300000
240.100000,7.300000,8.700000,13.200000
243.200000,49.000000,44.300000,25.400000
38.000000,40.300000,11.900000,10.900000
44.700000,25.800000,20.600000,10.100000
280.700000,13.900000,37.000000,16.100000
121.000000,8.400000,48.700000,11.600000
197.600000,23.300000,14.200000,16.600000
171.300000,39.700000,37.700000,19.000000
187.800000,21.100000,9.500000,15.600000
4.100000,11.600000,5.700000,3.200000
93.900000,43.500000,50.500000,15.300000
149.800000,1.300000,24.300000,10.100000
11.700000,36.900000,45.200000,7.300000
131.700000,18.400000,34.600000,12.900000
